ISO3v10,Country,Continent,ElevationZone,UrbanRuralDesignation,Population1990,PercentofCountryPopulation1990,Population2000,PercentofCountryPopulation2000,Population2010,PercentofCountryPopulation2010,Population2100,PercentofCountryPopulation2100
GNB,Guinea Bissau,Africa,Total National Population,Rural,779829,76.8,1036495,75.9,1157279,74.8,6247357,70.4
GNB,Guinea Bissau,Africa,Total National Population,Urban,235311,23.2,328642,24.1,389782,25.2,2622778,29.6
KEN,Kenya,Africa,10m LECZ: 1 km Cell Size,Rural,124034,0.5,166593,0.5,224315,0.5,152641,0.3
KEN,Kenya,Africa,10m LECZ: 1 km Cell Size,Urban,95923,0.4,128829,0.4,180907,0.4,134146,0.3
KEN,Kenya,Africa,10m LECZ: 90m Cell Size,Rural,149790,0.6,201185,0.7,270893,0.7,188467,0.4
KEN,Kenya,Africa,10m LECZ: 90m Cell Size,Urban,56399,0.2,75746,0.2,106365,0.3,74986,0.1
KEN,Kenya,Africa,Total National Population,Rural,19223686,82.1,24799724,80.9,33392518,80.3,42486360,83.1
KEN,Kenya,Africa,Total National Population,Urban,4178212,17.9,5851722,19.1,8217210,19.7,8610379,16.9
LBR,Liberia,Africa,10m LECZ: 1 km Cell Size,Rural,115914,5.4,166979,5.5,224246,5.4,722022,4.7
LBR,Liberia,Africa,10m LECZ: 1 km Cell Size,Urban,205122,9.6,296448,9.7,409168,9.9,2899640,19
LBR,Liberia,Africa,10m LECZ: 90m Cell Size,Rural,114942,5.4,165097,5.4,221719,5.4,689967,4.5
LBR,Liberia,Africa,10m LECZ: 90m Cell Size,Urban,200552,9.4,289831,9.5,400034,9.7,2862635,18.7
LBR,Liberia,Africa,Total National Population,Rural,1755955,82.4,2482480,81.2,3333873,80.8,10224570,66.9
LBR,Liberia,Africa,Total National Population,Urban,375046,17.6,575772,18.8,794699,19.2,5062060,33.1
LBY,Libya,Africa,10m LECZ: 1 km Cell Size,Rural,51134,1.2,57192,1.1,68558,1.1,85207,0.7
LBY,Libya,Africa,10m LECZ: 1 km Cell Size,Urban,544285,12.6,686730,12.9,834459,13,2099879,17.5
LBY,Libya,Africa,10m LECZ: 90m Cell Size,Rural,35857,0.8,38816,0.7,46530,0.7,50885,0.4
LBY,Libya,Africa,10m LECZ: 90m Cell Size,Urban,406962,9.4,514265,9.7,624893,9.7,1625268,13.5
LBY,Libya,Africa,Total National Population,Rural,1210774,27.9,1369854,25.8,1642090,25.6,1986168,16.5
LBY,Libya,Africa,Total National Population,Urban,3121490,72.1,3934333,74.2,4780682,74.4,10015800,83.5
MDG,Madagascar,Africa,10m LECZ: 1 km Cell Size,Rural,392148,3.3,519431,3.2,679331,3.2,1567493,2.3
MDG,Madagascar,Africa,10m LECZ: 1 km Cell Size,Urban,190691,1.6,256155,1.6,350339,1.6,729521,1.1
MDG,Madagascar,Africa,10m LECZ: 90m Cell Size,Rural,385480,3.2,510443,3.2,667576,3.1,1445382,2.1
MDG,Madagascar,Africa,10m LECZ: 90m Cell Size,Urban,187227,1.6,251462,1.6,343921,1.6,810296,1.2
MDG,Madagascar,Africa,Total National Population,Rural,10273750,85.3,13810941,85.3,18062480,84.7,59430944,87.7
MDG,Madagascar,Africa,Total National Population,Urban,1766318,14.7,2378222,14.7,3252655,15.3,8312817,12.3
MWI,Malawi,Africa,10m LECZ: 1 km Cell Size,Rural,0,0,0,0,0,0,0,0
MWI,Malawi,Africa,10m LECZ: 1 km Cell Size,Urban,0,0,0,0,0,0,0,0
MWI,Malawi,Africa,10m LECZ: 90m Cell Size,Rural,0,0,0,0,0,0,0,0
MWI,Malawi,Africa,10m LECZ: 90m Cell Size,Urban,0,0,0,0,0,0,0,0
MWI,Malawi,Africa,Total National Population,Rural,7992718,84.5,9630550,83.7,12836786,83.5,27225820,81.5
MWI,Malawi,Africa,Total National Population,Urban,1466678,15.5,1881853,16.3,2544102,16.5,6191856,18.5
MLI,Mali,Africa,10m LECZ: 1 km Cell Size,Rural,0,0,0,0,0,0,0,0
MLI,Mali,Africa,10m LECZ: 1 km Cell Size,Urban,0,0,0,0,0,0,0,0
MLI,Mali,Africa,10m LECZ: 90m Cell Size,Rural,0,0,0,0,0,0,0,0
MLI,Mali,Africa,10m LECZ: 90m Cell Size,Urban,0,0,0,0,0,0,0,0
MLI,Mali,Africa,Total National Population,Rural,6992005,78.6,8724563,74.9,11696478,73.8,48325692,76.9
MLI,Mali,Africa,Total National Population,Urban,1901827,21.4,2922361,25.1,4143060,26.2,14511409,23.1
MRT,Mauritania,Africa,10m LECZ: 1 km Cell Size,Rural,384343,18.9,529824,20,707987,20,2909806,37.3
MRT,Mauritania,Africa,10m LECZ: 1 km Cell Size,Urban,197633,9.7,266204,10.1,359302,10.1,962325,12.3
MRT,Mauritania,Africa,10m LECZ: 90m Cell Size,Rural,370375,18.2,510763,19.3,682516,19.3,2852699,36.5
MRT,Mauritania,Africa,10m LECZ: 90m Cell Size,Urban,185825,9.2,250185,9.5,337680,9.5,932021,11.9
MRT,Mauritania,Africa,Total National Population,Rural,1598254,78.7,2012562,76.1,2689321,75.9,6020549,77.1
MRT,Mauritania,Africa,Total National Population,Urban,431505,21.3,631403,23.9,852219,24.1,1789589,22.9
MUS,Mauritius,Africa,10m LECZ: 1 km Cell Size,Rural,21922,2.1,24589,2.1,27462,2.1,38152,1.9
MUS,Mauritius,Africa,10m LECZ: 1 km Cell Size,Urban,76402,7.3,85723,7.3,95049,7.3,133007,6.6
MUS,Mauritius,Africa,10m LECZ: 90m Cell Size,Rural,21469,2,24096,2,26912,2.1,52821,2.6
MUS,Mauritius,Africa,10m LECZ: 90m Cell Size,Urban,37559,3.6,42113,3.6,46695,3.6,69318,3.4
MUS,Mauritius,Africa,Total National Population,Rural,94232,9,107601,9.1,120176,9.2,216328,10.7
MUS,Mauritius,Africa,Total National Population,Urban,955216,91,1070007,90.9,1186417,90.8,1807245,89.3
MYT,Mayotte,Africa,10m LECZ: 1 km Cell Size,Rural,9157,10.2,15521,10.2,21301,10.1,50856,10.2
MYT,Mayotte,Africa,10m LECZ: 1 km Cell Size,Urban,6037,6.8,13202,8.7,18447,8.8,43258,8.7
MYT,Mayotte,Africa,10m LECZ: 90m Cell Size,Rural,4622,5.2,8224,5.4,11286,5.4,26945,5.4
MYT,Mayotte,Africa,10m LECZ: 90m Cell Size,Urban,2699,3,5653,3.7,7899,3.8,18523,3.7
MYT,Mayotte,Africa,Total National Population,Rural,62197,69.6,96639,63.4,132622,63,316638,63.4
MYT,Mayotte,Africa,Total National Population,Urban,27187,30.4,55773,36.6,77930,37,182743,36.6
MAR,Morocco,Africa,10m LECZ: 1 km Cell Size,Rural,289081,1.2,348143,1.2,384361,1.2,838734,1.7
MAR,Morocco,Africa,10m LECZ: 1 km Cell Size,Urban,751438,3.1,1020585,3.5,1157302,3.6,1778797,3.6
MAR,Morocco,Africa,10m LECZ: 90m Cell Size,Rural,228503,0.9,278214,1,307157,1,692769,1.4
MAR,Morocco,Africa,10m LECZ: 90m Cell Size,Urban,449518,1.9,627607,2.2,711681,2.2,1043372,2.1
MAR,Morocco,Africa,Total National Population,Rural,14686560,60.5,16243908,56.2,17933765,55.6,27375390,55.9
MAR,Morocco,Africa,Total National Population,Urban,9592727,39.5,12645253,43.8,14339209,44.4,21600612,44.1
MOZ,Mozambique,Africa,10m LECZ: 1 km Cell Size,Rural,892042,6.7,1014566,5.7,1354395,5.7,2098818,4.6
MOZ,Mozambique,Africa,10m LECZ: 1 km Cell Size,Urban,656484,4.9,1029063,5.8,1397645,5.8,4004659,8.9
MOZ,Mozambique,Africa,10m LECZ: 90m Cell Size,Rural,898073,6.7,1041222,5.8,1389980,5.8,2345239,5.2
MOZ,Mozambique,Africa,10m LECZ: 90m Cell Size,Urban,648049,4.8,1025480,5.7,1392779,5.8,4349397,9.6
MOZ,Mozambique,Africa,Total National Population,Rural,10679479,79.8,13253550,74.3,17692825,73.9,26777914,59.2
MOZ,Mozambique,Africa,Total National Population,Urban,2707673,20.2,4592113,25.7,6236883,26.1,18465046,40.8
NAM,Namibia,Africa,10m LECZ: 1 km Cell Size,Rural,3697,0.3,5944,0.3,7175,0.3,3576,0.1
NAM,Namibia,Africa,10m LECZ: 1 km Cell Size,Urban,24948,1.8,43097,2.3,54517,2.3,23415,0.9
NAM,Namibia,Africa,10m LECZ: 90m Cell Size,Rural,3421,0.2,5470,0.3,6603,0.3,3340,0.1
NAM,Namibia,Africa,10m LECZ: 90m Cell Size,Urban,23353,1.7,40054,2.1,50668,2.2,21701,0.8
NAM,Namibia,Africa,Total National Population,Rural,984819,70.5,1237809,65.4,1494171,64.3,1139095,43.7
NAM,Namibia,Africa,Total National Population,Urban,412473,29.5,655996,34.6,829833,35.7,1466663,56.3
NGA,Nigeria,Africa,10m LECZ: 1 km Cell Size,Rural,1713936,2.5,2171647,2.6,4169249,2.6,8018686,3.3
NGA,Nigeria,Africa,10m LECZ: 1 km Cell Size,Urban,3728183,5.5,4891164,5.8,9894815,6.1,12199153,5
NGA,Nigeria,Africa,10m LECZ: 1 km Cell Size,Urban,27159710,40.4,38387312,45.5,77657461,47.8,106798072,43.6
NGA,Nigeria,Africa,10m LECZ: 90m Cell Size,Rural,1717611,2.6,2175051,2.6,4175785,2.6,8059622,3.3
NGA,Nigeria,Africa,10m LECZ: 90m Cell Size,Urban,3916456,5.8,5149537,6.1,10417503,6.4,12739425,5.2
NGA,Nigeria,Africa,Total National Population,Rural,63378560,94.2,79200336,93.9,152053234,93.6,232171872,94.8
COG,Republic of Congo,Africa,10m LECZ: 1 km Cell Size,Rural,3258,0.1,2217,0.1,2599,0.1,5810,0
COG,Republic of Congo,Africa,10m LECZ: 1 km Cell Size,Urban,40893,1.6,61272,1.8,74572,1.8,160826,0.8
COG,Republic of Congo,Africa,10m LECZ: 90m Cell Size,Rural,7313,0.3,3377,0.1,3960,0.1,8963,0
COG,Republic of Congo,Africa,10m LECZ: 90m Cell Size,Urban,44515,1.8,66707,1.9,81186,2,175090,0.9
COG,Republic of Congo,Africa,Total National Population,Rural,825628,33.3,965035,28.1,1131595,27.3,10330741,54
COG,Republic of Congo,Africa,Total National Population,Urban,1657320,66.7,2471662,71.9,3008153,72.7,8801487,46
REU,Reunion,Africa,10m LECZ: 1 km Cell Size,Rural,28142,4.7,34139,4.7,36258,4.2,52970,4.7
REU,Reunion,Africa,10m LECZ: 1 km Cell Size,Urban,48365,8,58537,8.1,69789,8.2,90826,8.1
REU,Reunion,Africa,10m LECZ: 90m Cell Size,Rural,5576,0.9,6753,0.9,7172,0.8,10477,0.9
REU,Reunion,Africa,10m LECZ: 90m Cell Size,Urban,15122,2.5,18354,2.5,21882,2.6,28478,2.5
REU,Reunion,Africa,Total National Population,Rural,55435,9.2,60161,8.3,63895,7.5,93346,8.3
REU,Reunion,Africa,Total National Population,Urban,548551,90.8,664270,91.7,791954,92.5,1030680,91.7
SHN,Saint Helena,Africa,10m LECZ: 1 km Cell Size,Rural,0,0,0,0,0,0,0,0
SHN,Saint Helena,Africa,10m LECZ: 1 km Cell Size,Urban,0,0,0,0,0,0,0,0
SHN,Saint Helena,Africa,10m LECZ: 90m Cell Size,Rural,1179,21.8,1031,21.1,854,21.1,2620,21.9
SHN,Saint Helena,Africa,10m LECZ: 90m Cell Size,Urban,0,0,0,0,0,0,0,0
SHN,Saint Helena,Africa,Total National Population,Rural,5409,100,4897,100,4055,100,11980,100
SHN,Saint Helena,Africa,Total National Population,Urban,0,0,0,0,0,0,0,0
STP,Sao Tome and Principe,Africa,10m LECZ: 1 km Cell Size,Rural,4816,4.2,4793,3.4,5523,3.3,17245,3.4
STP,Sao Tome and Principe,Africa,10m LECZ: 1 km Cell Size,Urban,10688,9.2,15282,11,18875,11.2,54984,11
STP,Sao Tome and Principe,Africa,10m LECZ: 90m Cell Size,Rural,555,0.5,545,0.4,628,0.4,1961,0.4
STP,Sao Tome and Principe,Africa,10m LECZ: 90m Cell Size,Urban,6235,5.4,8887,6.4,10977,6.5,31976,6.4
STP,Sao Tome and Principe,Africa,Total National Population,Rural,45396,39.1,38054,27.4,43848,26,136918,27.4
STP,Sao Tome and Principe,Africa,Total National Population,Urban,70574,60.9,100944,72.6,124678,74,363196,72.6
SEN,Senegal,Africa,10m LECZ: 1 km Cell Size,Rural,721175,9.1,843345,8.2,1037407,8.1,2971366,9.8
SEN,Senegal,Africa,10m LECZ: 1 km Cell Size,Urban,1592139,20,2360860,22.9,2948915,23.1,4583416,15.1
SEN,Senegal,Africa,10m LECZ: 90m Cell Size,Rural,683884,8.6,802872,7.8,987621,7.7,2791615,9.2
SEN,Senegal,Africa,10m LECZ: 90m Cell Size,Urban,1372485,17.3,2048534,19.9,2558794,20,4133696,13.6
SEN,Senegal,Africa,Total National Population,Rural,4794661,60.3,5680558,55.1,6987709,54.7,19988998,65.8
SEN,Senegal,Africa,Total National Population,Urban,3154495,39.7,4627264,44.9,5779847,45.3,10401447,34.2
SYC,Seychelles,Africa,10m LECZ: 1 km Cell Size,Rural,24043,33.4,25757,33.4,28706,33,214461,29.8
SYC,Seychelles,Africa,10m LECZ: 1 km Cell Size,Urban,4778,6.6,5119,6.6,5835,6.7,50212,7
SYC,Seychelles,Africa,10m LECZ: 90m Cell Size,Rural,15235,21.1,16321,21.1,18191,20.9,123510,17.2
SYC,Seychelles,Africa,10m LECZ: 90m Cell Size,Urban,2813,3.9,3014,3.9,3435,4,29562,4.1
SYC,Seychelles,Africa,Total National Population,Rural,40719,56.5,43622,56.5,48618,56,389716,54.2
SYC,Seychelles,Africa,Total National Population,Urban,31333,43.5,33566,43.5,38261,44,329270,45.8
SLE,Sierra Leone,Africa,10m LECZ: 1 km Cell Size,Rural,257097,6.3,286816,6.4,379315,6.3,1883893,10.4
SLE,Sierra Leone,Africa,10m LECZ: 1 km Cell Size,Urban,132026,3.2,159383,3.5,216155,3.6,1175867,6.5
SLE,Sierra Leone,Africa,10m LECZ: 90m Cell Size,Rural,248538,6.1,276421,6.1,365567,6.1,1835921,10.2
SLE,Sierra Leone,Africa,10m LECZ: 90m Cell Size,Urban,59637,1.5,71622,1.6,97134,1.6,501592,2.8
SLE,Sierra Leone,Africa,Total National Population,Rural,3013245,74,3245851,72.1,4292643,71.6,11004315,61
SLE,Sierra Leone,Africa,Total National Population,Urban,1060056,26,1257072,27.9,1704843,28.4,7034011,39
SOM,Somalia,Africa,10m LECZ: 1 km Cell Size,Rural,127188,1.9,198287,2.8,269271,2.8,657920,1
SOM,Somalia,Africa,10m LECZ: 1 km Cell Size,Urban,76245,1.1,110779,1.6,155725,1.6,456781,0.7
SOM,Somalia,Africa,10m LECZ: 90m Cell Size,Rural,173950,2.6,250333,3.6,339948,3.6,1553970,2.5
SOM,Somalia,Africa,10m LECZ: 90m Cell Size,Urban,109604,1.6,149887,2.1,210700,2.2,716074,1.1
SOM,Somalia,Africa,Total National Population,Rural,6038546,90.5,6161882,87.9,8367742,87.6,55380608,88.3
SOM,Somalia,Africa,Total National Population,Urban,633271,9.5,845919,12.1,1189131,12.4,7371347,11.7
ZAF,South Africa,Africa,10m LECZ: 1 km Cell Size,Rural,41302,0.1,51997,0.1,56126,0.1,48039,0.1
ZAF,South Africa,Africa,10m LECZ: 1 km Cell Size,Urban,418333,1.1,428814,0.9,480902,1,498108,1.2
ZAF,South Africa,Africa,10m LECZ: 90m Cell Size,Rural,45235,0.1,60563,0.1,65373,0.1,54819,0.1
ZAF,South Africa,Africa,10m LECZ: 90m Cell Size,Urban,282064,0.8,284223,0.6,318747,0.6,306538,0.7
ZAF,South Africa,Africa,Total National Population,Rural,13628740,37,16375497,35.9,17675904,35,12915133,30.2
